day,membership,avg_ride_duration
Sunday,casual,3247.1111662007906
Sunday,member,1085.1371997107778
Monday,casual,2780.279078304577
Monday,member,893.870992042295
Tuesday,casual,1571.0334515744494
Tuesday,member,-758.5018463050164
Wednesday,casual,2550.4593441032234
Wednesday,member,884.5851938182127
Thursday,casual,2775.929485091186
Thursday,member,884.4784000681703
Friday,casual,2713.2089105629943
Friday,member,928.1545447296104
Saturday,casual,2907.823685560686
Saturday,member,1066.9778568135837
